keyword,cluster,product_relevance,wordstat_broad,frequency_type,demand_scope,source_seed,region,device,collected_at,source_url
джйотиш астрология,astrology,RELEVANT,1350,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
синастрия венера мужчины,synastry,RELEVANT,1342,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
знаки зодиака совместимость в браке женщина,compatibility,RELEVANT,1335,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
натальная карта партнеров,natal,RELEVANT,1327,broad,Yandex external demand proxy,натальная карта,Россия,Смартфоны,2026-07-29T18:50:57.081Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D1%80%D1%82%D0%B0
соединение марсов в синастрии,synastry,RELEVANT,1327,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
совместимость знаков зодиака в процентах,compatibility,RELEVANT,1324,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
натальная карта жизни,natal,RELEVANT,1322,broad,Yandex external demand proxy,натальная карта,Россия,Смартфоны,2026-07-29T18:50:57.081Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D1%80%D1%82%D0%B0
натальная карта журавлев иванченко,natal,RELEVANT,1321,broad,Yandex external demand proxy,натальная карта,Россия,Смартфоны,2026-07-29T18:50:57.081Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D1%80%D1%82%D0%B0
какой день астрологии,astrology,RELEVANT,1304,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология на июль,astrology,RELEVANT,1301,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
аспекты в астрологии,astrology,RELEVANT,1283,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
про астрологию дзен,astrology,RELEVANT,1278,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
рак астрология,astrology,RELEVANT,1268,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
почему астрологию,astrology,RELEVANT,1264,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
совместимость со знаками зодиака,compatibility,RELEVANT,1255,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
совместимость знаков зодиака водолей мужчина и женщина,compatibility,RELEVANT,1254,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
венера в астрологии,astrology,RELEVANT,1254,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
узлы в астрологии,astrology,RELEVANT,1253,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
ведическая астрология карта,astrology,RELEVANT,1249,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология нумерология,astrology,RELEVANT,1244,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
секстиль синастрия,synastry,RELEVANT,1227,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
академия астрологии,astrology,RELEVANT,1226,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
что означает астрология,astrology,RELEVANT,1225,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
совместимость знаков зодиака мужчин и женщин овен,compatibility,RELEVANT,1217,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
совместимость знаков зодиака мужчин и женщин козерог,compatibility,RELEVANT,1215,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
астрология период,astrology,RELEVANT,1215,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
меркурий в астрологии,astrology,RELEVANT,1207,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
тригон синастрия,synastry,RELEVANT,1201,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
книги по астрологии,astrology,RELEVANT,1198,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
синастрия онлайн бесплатно,synastry,RELEVANT,1196,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
обучение астрологии,astrology,RELEVANT,1193,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология воровка скачать,astrology,RELEVANT,1192,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
венера женщины в синастрии,synastry,RELEVANT,1191,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
совместимость знаков зодиака мужчин и женщин весы,compatibility,RELEVANT,1180,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
астрология совместимость,astrology,RELEVANT,1144,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
синастрия луна женщины,synastry,RELEVANT,1139,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
астрология левина,astrology,RELEVANT,1137,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
меркурий синастрия,synastry,RELEVANT,1130,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
совместимость знаков зодиака мужчин и женщин стрелец,compatibility,RELEVANT,1118,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
астрология онлайн бесплатно,astrology,RELEVANT,1094,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
луна мужчины в синастрии,synastry,RELEVANT,1085,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
синастрия уран,synastry,RELEVANT,1077,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
раха астрология,astrology,RELEVANT,1066,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
лучшая совместимость знаков зодиака,compatibility,RELEVANT,1061,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
ведическая астрология натальная,astrology,RELEVANT,1055,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
таблица совместимости знаков зодиака,compatibility,RELEVANT,1052,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
астрология просто,astrology,RELEVANT,1049,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
ведическая астрология натальная карта,astrology,RELEVANT,1041,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
градусы в астрологии,astrology,RELEVANT,1028,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
солнце в астрологии,astrology,RELEVANT,1027,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
скачать песню астрология,astrology,RELEVANT,1016,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология время,astrology,RELEVANT,1003,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
геокульт синастрия,synastry,RELEVANT,982,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
весы астрология,astrology,RELEVANT,980,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
плутон соединение плутон в синастрии,synastry,RELEVANT,978,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
астрология девы,astrology,RELEVANT,976,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология мужчина,astrology,RELEVANT,969,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
скачать песню астрология воровка,astrology,RELEVANT,963,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
обозначения в астрологии,astrology,RELEVANT,939,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
совместимость мужчины с другими знаками зодиака,compatibility,RELEVANT,929,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
венера плутон в синастрии,synastry,RELEVANT,929,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
венера марс синастрии,synastry,RELEVANT,920,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
козероге астрология,astrology,RELEVANT,913,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
синастрия с расшифровкой,synastry,RELEVANT,912,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
астрология расшифровка,astrology,RELEVANT,897,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
курсы астрологии,astrology,RELEVANT,894,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология близнецы,astrology,RELEVANT,886,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
марс в астрологии,astrology,RELEVANT,885,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология расчет,astrology,RELEVANT,874,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
символы астрологии,astrology,RELEVANT,871,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
солнце мужчины в синастрии,synastry,RELEVANT,868,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
солнце женщины в синастрии,synastry,RELEVANT,856,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
астрология цветов,astrology,RELEVANT,847,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
уран в астрологии,astrology,RELEVANT,842,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
астрология видео,astrology,RELEVANT,841,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
лилит в астрологии,astrology,RELEVANT,833,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
ведическая астрология рассчитать,astrology,RELEVANT,826,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
марс женщины синастрия,synastry,RELEVANT,821,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
астрология павел,astrology,RELEVANT,818,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
венера квадрат венера в синастрии,synastry,RELEVANT,817,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
плутон в астрологии,astrology,RELEVANT,810,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
соединение сатурнов синастрия,synastry,RELEVANT,799,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
значки в астрологии,astrology,RELEVANT,794,broad,Yandex external demand proxy,астрология,Россия,Смартфоны,2026-07-29T18:51:01.061Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F
