keyword,cluster,product_relevance,wordstat_broad,frequency_type,demand_scope,source_seed,region,device,collected_at,source_url
гороскоп на сегодня близнецы,horoscope,RELEVANT,92907,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на неделю,horoscope,RELEVANT,92184,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня рак,horoscope,RELEVANT,91761,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
совместимость знаков зодиака,compatibility,RELEVANT,90220,broad,Yandex external demand proxy,совместимость знаков зодиака,Россия,Смартфоны,2026-07-29T18:50:58.010Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C%20%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0
гороскопы самый,horoscope,RELEVANT,87325,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на первом,horoscope,RELEVANT,84197,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня лев,horoscope,RELEVANT,83389,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня телец,horoscope,RELEVANT,82228,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп тельцам на сегодня,horoscope,RELEVANT,82228,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
самый точный гороскоп,horoscope,RELEVANT,80583,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня овен,horoscope,RELEVANT,77222,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня рыбы,horoscope,RELEVANT,74526,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
любовный гороскоп,horoscope,RELEVANT,73689,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня водолей,horoscope,RELEVANT,73569,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня дева,horoscope,RELEVANT,73007,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
точный гороскоп на сегодня,horoscope,RELEVANT,72969,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня весы,horoscope,RELEVANT,71143,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскопы анжелы,horoscope,RELEVANT,69330,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня скорпион,horoscope,RELEVANT,68243,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на первом на сегодня,horoscope,RELEVANT,66244,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня стрелец,horoscope,RELEVANT,64358,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня козерог,horoscope,RELEVANT,62114,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
натальная карта рассчитать,natal,RELEVANT,61853,broad,Yandex external demand proxy,натальная карта,Россия,Смартфоны,2026-07-29T18:50:57.081Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D1%80%D1%82%D0%B0
натальная карта бесплатно,natal,RELEVANT,57976,broad,Yandex external demand proxy,натальная карта,Россия,Смартфоны,2026-07-29T18:50:57.081Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D1%80%D1%82%D0%B0
гороскоп на завтра женщина,horoscope,RELEVANT,56279,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
точный гороскоп мужчина,horoscope,RELEVANT,54720,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп бесплатно,horoscope,RELEVANT,54208,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на сегодня самый,horoscope,RELEVANT,53900,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
самый точный гороскоп на сегодня,horoscope,RELEVANT,52061,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
синастрия,synastry,RELEVANT,50833,broad,Yandex external demand proxy,синастрия,Россия,Смартфоны,2026-07-29T18:51:00.129Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D1%81%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B8%D1%8F
